|business_address|business_name|city|geo_coordinates|id|license_expiration|license_num|license_type|state|zip_code
4676|19 Charter Ave|Garys Repair And Sales Llc|Stafford Springs|[{'type': 'Point', 'coordinates': [-72.32601000000001, 41.954735]}]|row-9uyx~dauf.uru4|2022-04-30T00:00:00|U7639|Used Dealer|Ct|06076-1308
4677|121A W Stafford Rd|Ed Bolles Ent Inc|Stafford Springs|[{'type': 'Point', 'coordinates': [-72.339686, 41.970501]}]|row-zxxn-r52c~4v4a|2022-07-31T00:00:00|N2324|New Dealer|Ct|06076
4678|1446 E Main St|Torrington Hyundai Inc|Torrington|[{'type': 'Point', 'coordinates': [-73.088843, 41.818623]}]|row-7t63.9fp5.jj57|2023-01-31T00:00:00|N0417|New Dealer|Ct|06790
4679|901 Migeon Ave|Michaels|Torrington|[{'type': 'Point', 'coordinates': [-73.142162, 41.817053]}]|row-ewg7.ifcv-jqam|2022-04-30T00:00:00|R5613|General Repairer|Ct|06790-4526
4680|176 E Main St|Western Conn Auto Electric Inc|Torrington|[{'type': 'Point', 'coordinates': [-73.117727, 41.802866]}]|row-n5nk.98mr.q6ad|2023-06-30T00:00:00|U1303|Used Dealer|Ct|06790-5433
4681|263 Selleck St|Ggl Llc|Stamford|[{'type': 'Point', 'coordinates': [-73.558725, 41.041367]}]|row-f2ts.tcby.zqan|2023-06-30T00:00:00|N2605|New Dealer|Ct|06902
4682|53 Halloween Blvd|Pro Finish Auto Llc|Stamford|[{'type': 'Point', 'coordinates': [-73.526808, 41.048655]}]|row-mxe2~n2jq~5ggy|2023-07-31T00:00:00|R7636|General Repairer|Ct|06902-5104
4683|2 Belltown Rd|Ermanno R Coppola|Stamford|[{'type': 'Point', 'coordinates': [-73.53120000000001, 41.076105]}]|row-bt4c~48bb-3mpx|2023-09-30T00:00:00|L3272|Limited Repairer|Ct|06905-3752
4684|978 Danbury Rd|Motors Group Inc|Wilton|[{'type': 'Point', 'coordinates': [-73.43603, 41.260278]}]|row-8hf9-2pgf~4j7e|2023-02-28T00:00:00|N0380|New Dealer|Ct|06897-4808
4685|658 Danbury Rd|Wilton Service Center Inc|Wilton|[{'type': 'Point', 'coordinates': [-73.43234, 41.239273]}]|row-48xf-8yj7.5yuj|2022-12-31T00:00:00|U8465|Used Dealer|Ct|06897-5001
4686|978 Danbury Rd|Dba Bruce Bennett Nissan|Wilton|[{'type': 'Point', 'coordinates': [-73.43603, 41.260278]}]|row-f5d6-rwv7~e2gg|2023-02-28T00:00:00|N0380|New Dealer|Ct|06897-4808
4687|54 New Haven Rd|Family Mobile Llc|Seymour|[{'type': 'Point', 'coordinates': [-73.060458, 41.396835]}]|row-ntrn-yva2-5idj|2023-10-31T00:00:00|U7051|Used Dealer|Ct|06483-3903
4688|728 Derby Ave|Daddios Auto Parts Inc|Seymour|[{'type': 'Point', 'coordinates': [-73.089119, 41.36719300000001]}]|row-pv4x.ykhz-ixqn|2022-04-30T00:00:00|U0112|Used Dealer|Ct|06483
4689|450 Old Turnpike Rd|Auto Parts Dv Sthngtn|Southington||row-nfyp-uiyu-v7g4|2022-04-30T00:00:00|J2635|Recycler|Ct|06489
4690|154 Town Line Rd|Sno - White Powered Equipment Repair Llc|Southington|[{'type': 'Point', 'coordinates': [-72.877355, 41.650172]}]|row-bcx5~zm54~93tf|2023-07-31T00:00:00|R7415|General Repairer|Ct|06489-1100
4691|485 Post Rd E|Compo Service Center|Westport|[{'type': 'Point', 'coordinates': [-73.348735, 41.139803]}]|row-q8x3-vmdn~pvkg|2023-08-31T00:00:00|R0754|General Repairer|Ct|06880-4435
4692|1317 Post Rd E|New Country Lexus Of Westport|Westport|[{'type': 'Point', 'coordinates': [-73.318721, 41.138789]}]|row-f8wa.dbm5~sf7m|2022-02-28T00:00:00|N2526|New Dealer|Ct|06880-5506
4693|1690 Post Rd E|Vautrin Auto Service Inc|Westport|[{'type': 'Point', 'coordinates': [-73.30673500000002, 41.138473]}]|row-92ty~pysi-mktx|2023-09-30T00:00:00|U0941|Used Dealer|Ct|06880-5604
4694|101 Talcott Rd|Dba Talcott Transmissions|West Hartford|[{'type': 'Point', 'coordinates': [-72.725845, 41.737216]}]|row-qeen.eapc~unsu|2022-05-31T00:00:00|R7561|General Repairer|Ct|06110-1228
4695|946 New Britain Ave|Digital Sound Auto Repair Llc|West Hartford|[{'type': 'Point', 'coordinates': [-72.716917, 41.73095]}]|row-8i8p-ukk4~99q2|2023-05-31T00:00:00|U7269|Used Dealer|Ct|06119
4696|656 Woodtick Rd|Dibona Auto Center|Wolcott|[{'type': 'Point', 'coordinates': [-72.969307, 41.587993]}]|row-hfhy-zs5h.vj4z|2023-12-31T00:00:00|U4633|Used Dealer|Ct|06716-2519
4697|1139 Wolcott Rd|Auto Pro Service Llc|Wolcott|[{'type': 'Point', 'coordinates': [-72.975819, 41.617918]}]|row-y5b4-f9ep-jsbn|2022-02-28T00:00:00|R7149|General Repairer|Ct|06716-1552
4698|1037 Baldwin St|Hilltop Auto And Electric Inc|Waterbury|[{'type': 'Point', 'coordinates': [-73.033588, 41.538406]}]|row-huue.q8gp.te68|2023-01-31T00:00:00|U1919|Used Dealer|Ct|06706
4699|332 Fairfield Ave|Town Plot Auto Body Inc|Waterbury|[{'type': 'Point', 'coordinates': [-73.061049, 41.53541]}]|row-yrxn.vegb-tvr2|2022-11-30T00:00:00|U2110|Used Dealer|Ct|06708-4040
4700|1829-1833 -1864 Watertown Ave|Highline Car Connections|Waterbury|[{'type': 'Point', 'coordinates': [-73.07958800000002, 41.586543]}]|row-63rs.7fde~6auf|2022-06-30T00:00:00|U4464|Used Dealer|Ct|06708
4701|410 Talcottville Rd|Connecticut Scooter Pros Llc|Vernon|[{'type': 'Point', 'coordinates': [-72.486954, 41.844889]}]|row-snaa.quy3.imjf|2023-02-28T00:00:00|N2655|New Dealer|Ct|06066-4053
4702|13 Windsor Ave|John Regina|Vernon|[{'type': 'Point', 'coordinates': [-72.466143, 41.8678]}]|row-gyui-36nf-enk3|2023-06-30T00:00:00|U4967|Used Dealer|Ct|06066
4703|64B Windsor Ave|A And B Auto Repair Llc|Vernon|[{'type': 'Point', 'coordinates': [-72.472261, 41.865467]}]|row-6yqk-tg8t~zd3z|2023-04-30T00:00:00|R6917|General Repairer|Ct|06066
4704|1164 N Colony Rd|Jlo Automotive Inc|Wallingford|[{'type': 'Point', 'coordinates': [-72.810598, 41.502393]}]|row-iypk~u2ws.rjww|2023-10-31T00:00:00|N2471|New Dealer|Ct|06492-1730
4705|21 Central Grand Ave|Shirley Corbo-Dagastino|Wallingford|[{'type': 'Point', 'coordinates': [-72.821573, 41.469573]}]|row-5uyv-d8zi-bh2c|2023-02-28T00:00:00|U7674|Used Dealer|Ct|06492
4706|406 S Orchard St|Executive Dodge Inc|Wallingford|[{'type': 'Point', 'coordinates': [-72.829607, 41.445235]}]|row-7pf7~frvy~s8m4|2022-02-28T00:00:00|N2001|New Dealer|Ct|06492-4500
4707|1503 Mcnaughton Ave|American Cargo Group|Elkhart|[{'type': 'Point', 'coordinates': [-85.997154, 41.698952]}]|row-6vdq~tit5~nrd5|2023-06-30T00:00:00|M1017|Manufacturer License|In|46514-2243
4708|209 W High St|Custom Auto Llc|East Hampton|[{'type': 'Point', 'coordinates': [-72.533886, 41.567973]}]|row-g44m~9qpn.usa6|2023-10-31T00:00:00|U8751|Used Dealer|Ct|06424-2116
4709|84 Middletown Ave|Beyers Auto Works Inc|East Hampton|[{'type': 'Point', 'coordinates': [-72.512326, 41.565327]}]|row-6926~mwhg~84rb|2023-07-31T00:00:00|U1119|Used Dealer|Ct|06424
4710|179 W High St|Chippys Garage|East Hampton|[{'type': 'Point', 'coordinates': [-72.52956, 41.569332]}]|row-8fak.dbus~dcfp|2023-09-30T00:00:00|U0886|Used Dealer|Ct|06424-2116
4711|105 2Nd St Nw|Tiffin Motor Homes Inc|Red Bay|[{'type': 'Point', 'coordinates': [-88.144471, 34.443065]}]|row-t8ea.b426-ii97|2022-06-30T00:00:00|M0983|Manufacturer License|Al|35582
4712|54 Redding Rd|Kelcar Llc|Redding|[{'type': 'Point', 'coordinates': [-73.427486, 41.258948]}]|row-wahw-mg98~3ebc|2022-05-31T00:00:00|R6162|General Repairer|Ct|06896-3211
4713|54 Redding Rd|Georgetown Automotive|Redding|[{'type': 'Point', 'coordinates': [-73.427486, 41.258948]}]|row-n9n2-rxi3~9h2k|2022-05-31T00:00:00|R6162|General Repairer|Ct|06896-3211
4714|59 68 Waterbury Rd|Shaker Motors Inc|Thomaston|[{'type': 'Point', 'coordinates': [-73.08029, 41.659183]}]|row-69zk-rcpm-qnxv|2023-07-31T00:00:00|N2662|New Dealer|Ct|06787
4715|48 Clay St|Osowiecki Leasing Co Inc|Thomaston|[{'type': 'Point', 'coordinates': [-73.076147, 41.673733]}]|row-2gvy.ugsq~je4y|2022-03-31T00:00:00|O5934|Leasing License|Ct|06787-0905
4716|838 N Main St Ste 1|Superfly Motorsports Llc|Thomaston|[{'type': 'Point', 'coordinates': [-73.066102, 41.693726]}]|row-mjeg.iqh8-jyws|2023-08-31T00:00:00|U8065|Used Dealer|Ct|06787-1300
4717|1189 New Haven Rd|Shakers Lin Merc Auto Care Inc|Naugatuck|[{'type': 'Point', 'coordinates': [-73.022804, 41.468166]}]|row-yz9w.u52p-44v7|2022-08-31T00:00:00|R5083|General Repairer|Ct|06770-5015
4718|668 New Haven Rd|Route 63 Garage Llc|Naugatuck|[{'type': 'Point', 'coordinates': [-73.045915, 41.47722]}]|row-3qpb-qwng~nff6|2023-08-31T00:00:00|U8907|Used Dealer|Ct|06770-4713
4719|66-B Naugatuck Dr|R And R Auto Repair Llc|Naugatuck|[{'type': 'Point', 'coordinates': [-73.035672, 41.505984]}]|row-rwhh-37p3-wuix|2023-08-31T00:00:00|R7793|General Repairer|Ct|06770
4720|33 Norton St Suite 7|Strollo Towing Service|Plantsville|[{'type': 'Point', 'coordinates': [-72.895594, 41.568905]}]|row-tqnj-6nb3-wtz8|2023-10-31T00:00:00|R7656|General Repairer|Ct|06479
4721|214 Canal St|All State Rentals Llc|Plantsville|[{'type': 'Point', 'coordinates': [-72.901366, 41.571676]}]|row-uubc~urss.abs2|2022-03-31T00:00:00|O6004|Leasing License|Ct|06479
4722|7 Commerce Ave|Danielson Auto Llc|Danielson|[{'type': 'Point', 'coordinates': [-71.88444600000001, 41.804881]}]|row-iimu~u797.emma|2022-06-30T00:00:00|R7564|General Repairer|Ct|06239-2804
4723|148 Margaret Henry Rd|Dba Cliffs Auto Body|Danielson|[{'type': 'Point', 'coordinates': [-71.825241, 41.782008]}]|row-7bf4.765d-47rn|2022-09-30T00:00:00|R7474|General Repairer|Ct|06239-3924
4724|90 Boston Post Rd|Pag Connecticut Lr1 Llc|Darien|[{'type': 'Point', 'coordinates': [-73.455963, 41.090263]}]|row-qfh8.6whn~pmsy|2022-12-31T00:00:00|N2652|New Dealer|Ct|06820-2909
4725|177 179 Pulaski St|Midtown Auto Body Inc|Bridgeport|[{'type': 'Point', 'coordinates': [-73.183753, 41.184034]}]|row-ueff~7v2p~e23x|2022-11-30T00:00:00|U2154|Used Dealer|Ct|06608
4726|23 Sage Ave|Cityline Towing Llc|Bridgeport|[{'type': 'Point', 'coordinates': [-73.155465, 41.190048]}]|row-hfgn~6mqd~xq8s|2022-11-30T00:00:00|R6574|General Repairer|Ct|06610
4727|360 Dewey St|Robert A Maier|Bridgeport|[{'type': 'Point', 'coordinates': [-73.218369, 41.172204]}]|row-yzqn-m426~5bx7|2022-06-30T00:00:00|R4681|General Repairer|Ct|06605-2143
4728|10 Tipping Dr|Kurt Schwanfelder|Branford|[{'type': 'Point', 'coordinates': [-72.768064, 41.303724]}]|row-dtv6-84ra~hvt4|2023-05-31T00:00:00|U4951|Used Dealer|Ct|06405-2814
4729|10 Squaw Brook Rd|Brainerds Inc|Branford|[{'type': 'Point', 'coordinates': [-72.75092600000002, 41.267455]}]|row-7zre~wefv-5weu|2023-10-31T00:00:00|U0763|Used Dealer|Ct|06405-5719
4730|540 E Main St Unit 17|Import Specialist Llc|Branford|[{'type': 'Point', 'coordinates': [-72.766694, 41.298606]}]|row-ntgv-q95w.edwe|2022-03-31T00:00:00|R6501|General Repairer|Ct|06405
4731|213 W Main St|Avonwmain-Nlh23 Llc|Avon|[{'type': 'Point', 'coordinates': [-72.849778, 41.81195]}]|row-vrhb.3nym.i4t4|2023-05-31T00:00:00|R7728|General Repairer|Ct|06001-3606
4732|19 Sandscreen Rd|Car Biz Autobody|Avon|[{'type': 'Point', 'coordinates': [-72.836896, 41.797086]}]|row-t2fa-ybfr~4iw7|2022-07-31T00:00:00|R5387|General Repairer|Ct|06001-2222
4733|14 Turkey Plain Rd|Dba Smittys Auto Body|Bethel|[{'type': 'Point', 'coordinates': [-73.415063, 41.354184]}]|row-gzme~2gh4.wmk5|2023-10-31T00:00:00|R7801|General Repairer|Ct|06801-2840
4734|1 Turkey Plain Rd|Thommens Truck Sales & Service|Bethel|[{'type': 'Point', 'coordinates': [-73.417271, 41.356398]}]|row-qwzp.j3z7-maag|2022-04-30T00:00:00|N2254|New Dealer|Ct|06801-2848
4735|151 Grassy Plain St Ste C1|Bethel Engine Rebuilders Llc|Bethel|[{'type': 'Point', 'coordinates': [-73.420979, 41.362725]}]|row-9nt9-xahs-3hjt|2023-05-31T00:00:00|R6921|General Repairer|Ct|06801-2867
4736|5 School Street|Select Motors|Pequabuck|[{'type': 'Point', 'coordinates': [-73.33246, 41.843655]}]|row-rhr2-e95z~vmi6|2022-08-31T00:00:00|U7927|Used Dealer|Ct|06781
4737|163 S Riverside Ave|Plymouth Auto|Pequabuck|[{'type': 'Point', 'coordinates': [-72.992051, 41.67093]}]|row-qf3e.hmcf~5tsb|2022-03-31T00:00:00|U0247|Used Dealer|Ct|06781
4738|5 School Street|Ludlow Associates, Llc|Pequabuck|[{'type': 'Point', 'coordinates': [-73.33246, 41.843655]}]|row-23mj-x6np~v5up|2022-08-31T00:00:00|U7927|Used Dealer|Ct|06781
4739|106 Newtown Rd|Danbury Automotive Partners Llc|Danbury|[{'type': 'Point', 'coordinates': [-73.40956, 41.41456]}]|row-pvsh-exkp.g7zb|2022-11-30T00:00:00|N2402|New Dealer|Ct|06810-4123
4740|123 Park Ave|Like New Auto Sales Llc|Danbury|[{'type': 'Point', 'coordinates': [-73.466111, 41.381975]}]|row-98zs.yf6d-vkp8|2023-04-30T00:00:00|U8495|Used Dealer|Ct|06810-7504
4741|29 1/2 New Street|New Street Motors Llc|Danbury|[{'type': 'Point', 'coordinates': [-73.456266, 41.394372]}]|row-dcx9.ragf.tf4u|2023-06-30T00:00:00|U6683|Used Dealer|Ct|06810
4742|3 Jade Court|Good Life Cars Llc|Old Saybrook|[{'type': 'Point', 'coordinates': [-72.371522, 41.306425]}]|row-exuv-7yhp-2t5k|2023-06-30T00:00:00|U8895|Used Dealer|Ct|06475
4743|295 300 Middlesex Tpke|Grossman Chev Nissan Geo Inc|Old Saybrook|[{'type': 'Point', 'coordinates': [-72.382391, 41.309304]}]|row-x8ss~44vu.c3st|2023-12-31T00:00:00|N2074|New Dealer|Ct|06475
4744|295 Boston Post Rd|Saybrook Auto Sales|Old Saybrook|[{'type': 'Point', 'coordinates': [-72.369154, 41.307537]}]|row-we4x~ait3-mj4u|2023-01-31T00:00:00|U1945|Used Dealer|Ct|06475
4745|16 John Ave|Ricks Automotive Inc|Bristol|[{'type': 'Point', 'coordinates': [-72.915574, 41.692501]}]|row-6jc7.e5pe~n7kd|2023-11-30T00:00:00|U0620|Used Dealer|Ct|06010-4450
4746|96 E Main St|Dba Blasius Of Bristol|Bristol|[{'type': 'Point', 'coordinates': [-72.894454, 41.672653]}]|row-ndcr-ppyq~8e8z|2023-04-30T00:00:00|U8879|Used Dealer|Ct|06010-7079
4747|9 East Street|Sawes Automotive Llc|Bristol|[{'type': 'Point', 'coordinates': [-72.933942, 41.668758]}]|row-v45s-aw3x-serq|2022-09-30T00:00:00|R7228|General Repairer|Ct|06010
4748|24 Daly Rd|Coventry Collision Inc|Coventry|[{'type': 'Point', 'coordinates': [-72.334563, 41.783474]}]|row-26qm.wm79.y3eu|2023-04-30T00:00:00|U5289|Used Dealer|Ct|06238-2018
4749|2152 Boston Turnpike|Coventry Motor Car|Coventry|[{'type': 'Point', 'coordinates': [-72.390566, 41.798092]}]|row-7mgv-xrf8-8ack|2023-04-30T00:00:00|U7258|Used Dealer|Ct|06238
4750|1000 1010 Main St|Coventry Auto Sales And Service Llc|Coventry|[{'type': 'Point', 'coordinates': [-72.293689, 41.766491]}]|row-a23j~sgie.62sm|2022-12-31T00:00:00|U6263|Used Dealer|Ct|06238
4751|264 Island Brook Ave|Voight Automotive Sales And Service Corp|Bridgeport|[{'type': 'Point', 'coordinates': [-73.191347, 41.20044000000001]}]|row-wkwd~sfw2-8mn3|2023-02-28T00:00:00|U8150|Used Dealer|Ct|06606
4752|1504 Barnum Ave|Airway Motors|Bridgeport|[{'type': 'Point', 'coordinates': [-73.161584, 41.187712]}]|row-4bhi-fx5t~riha|2023-12-31T00:00:00|U6421|Used Dealer|Ct|06610-3238
4753|25 Island Brook Ave|Buds Truck And Diesel Service Inc|Bridgeport|[{'type': 'Point', 'coordinates': [-73.186862, 41.198253]}]|row-t9c9.5bze.4943|2022-03-31T00:00:00|O1713|Leasing License|Ct|06606-5113
4754|127 Public Square|Keybank National Association|Cleveland|[{'type': 'Point', 'coordinates': [-81.693572, 41.500655]}]|row-n6ef-7hsg-xswf|2023-03-31T00:00:00|O6143|Leasing License|Oh|44114
4755|156 Albany Tpke|Davidson Chevrolet Inc|Canton|[{'type': 'Point', 'coordinates': [-72.892445, 41.824043]}]|row-qd6i-gjid-niv3|2022-03-31T00:00:00|O2138|Leasing License|Ct|06019-2509
4756|71 Albany Tpke|Mitchell Subaru|Canton|[{'type': 'Point', 'coordinates': [-72.879795, 41.823144]}]|row-gw3y~4t4z-kz4u|2023-03-31T00:00:00|N0310|New Dealer|Ct|06019-2507
4757|2980 Main St|Mk Ultra Automotive Llc|Stratford|[{'type': 'Point', 'coordinates': [-73.131218, 41.201304]}]|row-ikk8-wxuw-r7xn|2023-01-31T00:00:00|R7482|General Repairer|Ct|06614-4939
4758|2100 Barnum Ave|Mikes Motors Llc|Stratford|[{'type': 'Point', 'coordinates': [-73.149395, 41.192038000000004]}]|row-ij58-j6ye~vsuh|2023-07-31T00:00:00|U7807|Used Dealer|Ct|06615-5558
4759|140 Boston Ave|Auto Town Llc|Stratford|[{'type': 'Point', 'coordinates': [-73.150102, 41.193024]}]|row-m5st~t3gv~7eui|2022-02-28T00:00:00|U5789|Used Dealer|Ct|06614-5208
4760|174 Francis Ave|Cashway Motors|Newington|[{'type': 'Point', 'coordinates': [-72.735003, 41.71638]}]|row-x8pz-fr9n-zym9|2023-09-30T00:00:00|U6727|Used Dealer|Ct|06111
4761|488 Colman St|Dba Mercedes-Benz Of New London|New London|[{'type': 'Point', 'coordinates': [-72.116169, 41.362246]}]|row-9vc4-s45p~g6y8|2024-01-31T00:00:00|N2041|New Dealer|Ct|06320-3739
4762|41 Westwood Ave|Dba Raymond Suarez|New London|[{'type': 'Point', 'coordinates': [-72.112456, 41.346751]}]|row-krtq.init~7yei|2023-05-31T00:00:00|R6436|General Repairer|Ct|06320-2726
4763|79 Commercial St|Alplex Auto Body & Towing|Watertown|[{'type': 'Point', 'coordinates': [-73.101782, 41.57551]}]|row-vkxf~66kr.5ds6|2023-03-31T00:00:00|U1578|Used Dealer|Ct|06795-3308
4764|816 Straits Tpke|Dlo Inc|Watertown|[{'type': 'Point', 'coordinates': [-73.098673, 41.569607000000005]}]|row-jc8m~g69p~ggqp|2022-03-31T00:00:00|O5946|Leasing License|Ct|06795
4765|715 Straits Tpke|Bg Of Watertown Llc|Watertown|[{'type': 'Point', 'coordinates': [-73.099332, 41.572274]}]|row-gu2z-89xb-6typ|2023-12-31T00:00:00|N2613|New Dealer|Ct|06795
4766|1175 Whalley Ave|Bz Enterprises Inc|New Haven|[{'type': 'Point', 'coordinates': [-72.969256, 41.32941300000001]}]|row-tjmx-f5mw~7336|2022-12-31T00:00:00|R1579|General Repairer|Ct|06500
4767|515 East St|Ctdealerdirect.Com Llc|New Haven|[{'type': 'Point', 'coordinates': [-72.90927, 41.313244]}]|row-49et~bweb~ahrh|2022-11-30T00:00:00|U8837|Used Dealer|Ct|06511-5021
4768|142 Gando Dr|Anthonys Hightech Auto Center Inc|New Haven|[{'type': 'Point', 'coordinates': [-72.872906, 41.333422]}]|row-pk4t~vkmj~cfaw|2022-07-31T00:00:00|R6507|General Repairer|Ct|06513
4769|92 Taylor Ave|Foreign Car Motors Inc|Norwalk|[{'type': 'Point', 'coordinates': [-73.42964, 41.102643]}]|row-svv9.qk7r-ri5j|2023-08-31T00:00:00|U1039|Used Dealer|Ct|06854-2046
