|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
720000|23 Clearwater Rd|199500.0|2015-12-15T00:00:00|[{'type': 'Point', 'coordinates': [-72.383801, 41.265012]}]|row-8se9-rfii-49b8|2015|||Residential||Single Family|355000.0|0.561972|150061|Old Saybrook
720001|168 Weymouth Rd|169480.0|2015-12-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.569884, 41.948338]}]|row-hiur~957s-vbfy|2015|||Residential||Single Family|235000.0|0.721191|150126|Enfield
720002|11 Sugar Hill Road|200500.0|2015-12-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.365574, 41.885423]}]|row-ajwx-7ufn-75g3|2015|||Residential||Single Family|275000.0|0.729091|150046|Tolland
720003|778 Ocean Ave|164290.0|2015-12-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.100502, 41.32307]}]|row-ppfi~tj2f-vw59|2015|14 - Foreclosure||Residential|Sale of foreclosed property|Single Family|153000.0|1.073791|150082|New London
720004|68 Masons Island Rd|573300.0|2015-12-18T00:00:00|[{'type': 'Point', 'coordinates': [-71.891656, 41.342036]}]|row-tq67-ebmc~qxbr|2015|25 - Other||Residential|Substantial chg in condition since reval|Single Family|495000.0|1.158182|150076|Stonington
720005|104 Deerwood Dr|181500.0|2015-12-18T00:00:00||row-btpd~aaht-3rbq|2015|||Residential||Single Family|324200.0|0.55984|15011|Bethlehem
720006|93 Outlook Avenue|236110.0|2015-12-22T00:00:00|[{'type': 'Point', 'coordinates': [-72.734761, 41.760303]}]|row-png2~n78s~yshx|2015|||Residential||Single Family|335000.0|0.704806|150204|West Hartford
720007|136 Elmfield Street|120260.0|2015-12-22T00:00:00||row-qrqd~h79t-8nm5|2015|||Residential||Single Family|175000.0|0.6872|150201|West Hartford
720008|20 Hopmeadow Street|2293200.0|2015-12-22T00:00:00||row-9hyc~s2mn-s5e6|2015|||Vacant Land|||3640000.0|0.63|150091|Simsbury
720009|12-J Byrne Court|133710.0|2015-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.797232, 41.742131]}]|row-am5n-h92r~9z2f|2015|||Residential||Condo|184000.0|0.726685|15112|Farmington
720010|102 Center Meadow Lane|184100.0|2015-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.527045, 41.387308]}]|row-4xfc-btuz.jeci|2015|07 - Change In Property||Residential|New construction / b15002-102|Condo|301995.0|0.609613|150291|Danbury
720011|673 Chamberlain Hwy|133100.0|2015-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.793331, 41.618571]}]|row-m6eh.w4n8-vi6r|2015|||Residential|Qualified sale|Single Family|183000.0|0.727322|150086|Berlin
720012|60 Hartland St.|2748420.0|2015-12-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.658111, 41.762427]}]|row-bn43-24n5~sea7|2015|08 - Part Interest||Commercial|2.72% interest||130560.0|21.051011|15178|East Hartford
720013|41 Squaw Brook Rd|233200.0|2015-12-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.749403, 41.267094]}]|row-h286~qf33~c8e6|2015|||Residential||Single Family|410000.0|0.56878|150114|Branford
720014|65 Bainton Road|232190.0|2015-12-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.717881, 41.783465]}]|row-dfve.w2h2-q65w|2015|||Residential||Single Family|306200.0|0.758295|150196|West Hartford
720015|29 Trumbull Rd|217540.0|2015-12-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.142873, 41.335405]}]|row-i27b~vmyr.iu46|2015|||Residential||Single Family|321750.0|0.676115|150086|Waterford
720016|70 Boardman St Una6|32970.0|2015-12-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.910648, 41.696379]}]|row-pkx2.xs2t-ez79|2015|||Residential||Condo|62000.0|0.531774|150187|Bristol
720017|87 Brindlewood Path|221900.0|2015-12-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.306236, 41.607925]}]|row-dw5m-43se~82xi|2015|||Residential||Single Family|291000.0|0.762543|15049|Colchester
720018|7 Wheeler Farm Rd|204600.0|2015-12-30T00:00:00||row-nkd5~dh22-ih2v|2015|14 - Foreclosure||Residential|7 wheeler farm rd|Single Family|238000.0|0.859664|150027|Preston
720019|241 Ledge Dr|50960.0|2015-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.100716, 41.877646]}]|row-9nmz.qh9h~gzcy|2015|01 - Family||Residential||Condo|56000.0|0.91|150163|Torrington
720020|131 Neff Hill Road|260300.0|2015-12-24T00:00:00|[{'type': 'Point', 'coordinates': [-72.351627, 41.918482]}]|row-k8kq.hka3~awjp|2015|07 - Change In Property||Residential||Single Family|648205.0|0.40157|150055|Tolland
720021|244 Booth St|98420.0|2015-12-24T00:00:00|[{'type': 'Point', 'coordinates': [-72.792701, 41.676484]}]|row-5ghu.8t92.shja|2015|||Residential||Single Family|130000.0|0.757077|150234|New Britain
720022|189 Stratton Brook Road|94120.0|2015-12-23T00:00:00|[{'type': 'Point', 'coordinates': [-72.83949, 41.862446]}]|row-4gtx.kzj9.njkf|2015|08 - Part Interest||Residential||Single Family|5000.0|18.824|150096|Simsbury
720023|117 Lynch Hill Rd|177890.0|2015-12-23T00:00:00||row-86xm~ft3x.z5dj|2015|14 - Foreclosure||Residential||Single Family|210000.0|0.847095|15070|Montville
720024|144 Moose Hill Rd|241020.0|2015-12-28T00:00:00||row-8697~jhzq.5knh|2015|25 - Other||Residential|Executor deed|Single Family|309900.0|0.777735|1500105|Guilford
720025|189 E Heritage Village|57090.0|2015-12-28T00:00:00|[{'type': 'Point', 'coordinates': [-73.232504, 41.485728]}]|row-yrxa~x8y8~eujb|2015|||Residential||Condo|75000.0|0.7612|150124|Southbury
720026|241 Hamilton Avenue # 67|115730.0|2015-12-23T00:00:00||row-ytev-d532-5xpu|2015|||Residential||Condo|215000.0|0.538279|1500403|Stamford
720027|122 Lake View Dr|105900.0|2015-12-23T00:00:00||row-kepd-pnbd-jzzi|2015|||Residential|2 br ranch. chaffee lake area. renovated prior to sale.|Single Family|175000.0|0.605143|150012|Ashford
720028|189 Stratton Brook Road|94120.0|2015-12-23T00:00:00|[{'type': 'Point', 'coordinates': [-72.83949, 41.862446]}]|row-4gtx.kzj9.njkf|2015|08 - Part Interest||Residential||Single Family|5000.0|18.824|150096|Simsbury
720029|5 Ellsworth Ave #B|98200.0|2015-12-22T00:00:00|[{'type': 'Point', 'coordinates': [-73.452178, 41.400846]}]|row-y5xd~ij9g-i7up|2015|||Residential|I13165-2|Condo|150000.0|0.654667|150259|Danbury
720030|49 Goodhouse Rd|206370.0|2015-12-22T00:00:00|[{'type': 'Point', 'coordinates': [-73.237021, 41.763497]}]|row-qxan-hijq~8t9t|2015|||Residential||Single Family|215000.0|0.95986|150041|Litchfield
720031|52 Fox Run La|166810.0|2015-12-28T00:00:00||row-82ec-n45f-w95g|2015|14 - Foreclosure||Residential|Sale by bank after foreclosure|Single Family|200001.0|0.834046|150122|Groton
720032|63 Country Walk|172480.0|2015-12-28T00:00:00|[{'type': 'Point', 'coordinates': [-73.115578, 41.29503]}]|row-7dgr~5zay-tbdh|2015|||Residential|Country walk condo|Condo|235000.0|0.733957|151371|Shelton
720033|155 Redstone Hill Rd #62|76790.0|2015-12-29T00:00:00|[{'type': 'Point', 'coordinates': [-72.908348, 41.657517]}]|row-ttfz-6k96.8vz9|2015|14 - Foreclosure||Residential|Foreclosure sale out of bank's name.|Condo|76870.0|0.998959|150199|Bristol
720034|876 Maple Hill Rd|121440.0|2015-12-29T00:00:00|[{'type': 'Point', 'coordinates': [-73.015886, 41.48246]}]|row-be8g-7uhc~vngv|2015|14 - Foreclosure||Residential|Sale of foreclosed property|Single Family|37500.0|3.2384|150123|Naugatuck
720035|39 Easton Ave|2930.0|2015-12-29T00:00:00|[{'type': 'Point', 'coordinates': [-73.032295, 41.564797]}]|row-t9ng-54hc-em9u|2015|09 - Tax||Vacant Land|||9000.0|0.325556|150370|Waterbury
720036|83 Orange Street|192890.0|2015-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.517665, 41.05455]}]|row-pqz9-3yan~wp5c|2015|||Residential||Single Family|250000.0|0.77156|1500434|Stamford
720037|57 South Main St|220100.0|2015-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.060773, 41.440385]}]|row-wc3r-bajg~pgyi|2015|||Commercial|Building has restaurant and 2 apartments||330000.0|0.66697|150027|Beacon Falls
720038|58 Palmer Rd|274260.0|2015-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.229678, 41.695176]}]|row-5mya.jjr5~k7b9|2015|||Residential||Single Family|445000.0|0.616315|15011|Morris
720039|97 Summit St|65100.0|2015-12-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.082902, 41.51915]}]|row-th3d~ud5g~nnip|2015|14 - Foreclosure||Residential||Single Family|18500.0|3.518919|150169|Norwich
720040|25 Breakwater Ln|101780.0|2015-12-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.680736, 41.833505]}]|row-n57i.pac8-pv53|2015|07 - Change In Property||Residential|New dwelling not complete 10/1/2015|Single Family|83000.0|1.226265|150122|Windsor
720041|6 Tamarac Dr|202700.0|2015-12-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.601855, 41.314112]}]|row-xfpv-vxiw~ap52|2015|||Residential||Single Family|270000.0|0.750741|150082|Madison
720042|569 Whittemore Rd|125700.0|2016-01-13T00:00:00|[{'type': 'Point', 'coordinates': [-73.101394, 41.5271]}]|row-mc3t.qfw6-q6j4|2015|||Residential|Cape cod|Single Family|170000.0|0.739412|150044|Middlebury
720043|37 Bigelow Ave|119260.0|2016-01-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.597713, 42.00454]}]|row-2yy7-smp6-wikc|2015|25 - Other||Residential|Short sale|Two Family|80000.0|1.49075|150165|Enfield
720044|113 Pepper St|173000.0|2016-01-13T00:00:00|[{'type': 'Point', 'coordinates': [-73.253897, 41.325169]}]|row-m2x9-c9jf.ixmg|2015|||Residential||Single Family|249000.0|0.694779|15096|Monroe
720045|604 Cambridge Commons|129300.0|2016-01-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.696019, 41.599392]}]|row-4wcj-9p9t.2zey|2015|||Residential||Condo|160000.0|0.808125|150167|Middletown
720046|38 Pettom Rd|238410.0|2016-01-05T00:00:00|[{'type': 'Point', 'coordinates': [-73.431705, 41.116141]}]|row-xnfj~4zdm~93fe|2015|||Residential||Single Family|360000.0|0.66225|150702|Norwalk
720047|1 Aldrich Rd|208130.0|2016-01-05T00:00:00||row-ter2.882x-amtz|2015|||Residential||Single Family|299000.0|0.696087|150083|Brookfield
720048|21 Robert St|166080.0|2016-01-21T00:00:00|[{'type': 'Point', 'coordinates': [-73.096782, 41.206081]}]|row-k6fj-viie-9syg|2015|||Residential||Single Family|230000.0|0.722087|15342|Milford
720049|60 Tyler Hill Rd|174580.0|2016-01-21T00:00:00|[{'type': 'Point', 'coordinates': [-73.031697, 41.49885]}]|row-tqmc~ydp2~zxh5|2015|01 - Family||Residential||Single Family|210000.0|0.831333|150147|Naugatuck
720050|355 Huntington Rd|173030.0|2016-01-11T00:00:00|[{'type': 'Point', 'coordinates': [-72.11558, 41.697646]}]|row-vbiu-hpjw-m88n|2015|||Residential|Ranch built 2003|Single Family|211300.0|0.818883|1500023|Scotland
720051|67 Goose Hill Rd|274510.0|2016-01-11T00:00:00|[{'type': 'Point', 'coordinates': [-72.45311, 41.418731]}]|row-3ynf-hfwr-n3xg|2015|||Residential||Single Family|380000.0|0.722395|1516|Chester
720052|438 Grove Beach Rd N|322990.0|2016-01-11T00:00:00|[{'type': 'Point', 'coordinates': [-72.490129, 41.285549]}]|row-ayy8.95f8-eex4|2015|||Residential|River view-wet|Single Family|550000.0|0.587255|150048|Westbrook
720053|21-25-31 Welton Ave|97930.0|2016-01-08T00:00:00|[{'type': 'Point', 'coordinates': [-73.041585, 41.558048]}]|row-xp5p.tqs8-3bk4|2015|25 - Other||Residential|Inclds 2 family & vacant lot|Three Family|160000.0|0.612062|150421|Waterbury
720054|156 Ocean View Ave|325920.0|2016-01-08T00:00:00||row-nwj2.pefr~dd6n|2015|06 - Portion Of Property||Vacant Land|Split & sale of 1.59 acres||285000.0|1.143579|150144|Groton
720055|410 Swanson Crescent, # 410|121150.0|2016-01-08T00:00:00|[{'type': 'Point', 'coordinates': [-73.034447, 41.245869]}]|row-3553-bpwd.b6az|2015|||Residential||Condo|157500.0|0.769206|15312|Milford
