|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
10000|264 Lyman Rd 2-6|83400.0|2015-06-10T00:00:00|[{'type': 'Point', 'coordinates': [-73.004677, 41.595542]}]|row-pysx~qymf-4g84|2014|25 - Other||Residential|Motivated sellers priced for quick sale|Condo|105000.0|0.794286|140163|Wolcott
10001|280 Stanwood Dr|88410.0|2015-05-28T00:00:00|[{'type': 'Point', 'coordinates': [-72.815309, 41.675346]}]|row-mvuq~hv6b-cbhf|2014|||Residential||Single Family|150000.0|0.5894|140511|New Britain
10002|17 Stanford Hill Rd (Portion O|510300.0|2015-05-28T00:00:00|[{'type': 'Point', 'coordinates': [-72.394887, 41.344315]}]|row-qhsg.n4vc-97iz|2014|06 - Portion Of Property||Vacant Land|Sale consisted of 0.35 acres of vacant portion of property||23000.0|22.186957|140083|Essex
10003|45 Mozart Street|121590.0|2015-03-09T00:00:00||row-rgpb-tajk-3ejs|2014|25 - Other||Residential|Estate sale|Single Family|145000.0|0.838552|140337|West Hartford
10004|55 Gallup St|71990.0|2015-03-09T00:00:00|[{'type': 'Point', 'coordinates': [-71.91199, 41.683061]}]|row-z876~9bva-jv79|2014|14 - Foreclosure||Residential||Single Family|50000.0|1.4398|14088|Plainfield
10005|40 Old Mill Rd|228390.0|2015-03-09T00:00:00||row-j72w-pk5y-haqe|2014|||Residential||Single Family|335000.0|0.681761|140283|Southington
10006|260 Hillandale Blvd|243910.0|2014-08-11T00:00:00||row-nh6f.fqiw-cu2a|2013|||Residential||Single Family|305000.0|0.799705|130487|Torrington
10007|146 Meloy Rd|118510.0|2014-08-11T00:00:00||row-wbui-w3w7-vs67|2013|11 - Court Order||Residential||Single Family|130500.0|0.908123|13520|West Haven
10008|75 Sherman Avenue|80710.0|2013-12-02T00:00:00|[{'type': 'Point', 'coordinates': [-72.945844, 41.308241]}]|row-vhkz~u4qw.dfpj|2013|14 - Foreclosure||Residential||Three Family|63300.0|1.275039|130143|New Haven
10009|71 E Shore Dr|342650.0|2013-12-02T00:00:00|[{'type': 'Point', 'coordinates': [-72.302742, 41.360131]}]|row-4gpc-d6uj-c83v|2013|01 - Family||Residential|Family transfer of half interest|Single Family|90000.0|3.807222|130076|East Lyme
10010|34 Lawncrest St|163400.0|2013-12-16T00:00:00|[{'type': 'Point', 'coordinates': [-73.472773, 41.391611]}]|row-ybrh~hfbk.sfbq|2013|||Residential|G14343|Single Family|283500.0|0.576367|130228|Danbury
10011|39 Wightman Rd|146300.0|2013-12-16T00:00:00|[{'type': 'Point', 'coordinates': [-72.80206, 41.657694]}]|row-me3f-3xjn-ctad|2013|||Residential||Single Family|177500.0|0.824225|130155|New Britain
10012|360 Lisbon Rd|159800.0|2013-01-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.009365, 41.663342]}]|row-cdy3-ubda~e8u4|2012|01 - Family||Commercial|||80000.0|1.9975|12016|Canterbury
10013|54 Whitney Rd|114400.0|2013-05-06T00:00:00|[{'type': 'Point', 'coordinates': [-72.325659, 41.718796]}]|row-m2ev~2cck~ah9g|2012|||Residential||Single Family|205000.0|0.558049|120038|Columbia
10014|26 Katherine Rd|195600.0|2013-05-06T00:00:00|[{'type': 'Point', 'coordinates': [-72.329013, 41.299916]}]|row-cyd7~xtby-tjwc|2012|07 - Change In Property||Residential|*cash sale|Single Family|120000.0|1.63|120085|Old Lyme
10015|32 Upper Pattagansett Rd #23|108920.0|2013-06-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.219953, 41.369994]}]|row-f88k.4wca-f8uh|2012|||Residential||Condo|148000.0|0.735946|120231|East Lyme
10016|456 Lakeview Hgts|7800.0|2013-06-18T00:00:00||row-kcd8~rtdg.tcvh|2012|||Vacant Land|||7600.0|1.026316|120079|Lebanon
10017|205 Millbrook Road|339780.0|2011-11-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.89707, 41.376682]}]|row-tdt5-afkg-32pj|2011|||Residential||Single Family|380000.0|0.894158|11041|North Haven
10018|71 Lexington Road|453420.0|2011-11-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.883205, 41.776592]}]|row-7ynb~mpmq~rxmm|2011|||Residential||Single Family|565000.0|0.802513|110028|Avon
10019|15 Cold Springs St|33670.0|2013-08-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.871651, 41.248317]}]|row-6kmc-d2ak-yxdf|2012|14 - Foreclosure||Vacant Land|||15000.0|2.244667|1200298|East Haven
10020|65 Partridge Road|803180.0|2013-08-19T00:00:00|[{'type': 'Point', 'coordinates': [-73.47668, 41.177691]}]|row-mey2~5gy7-kiky|2012|||Residential||Single Family|1160000.0|0.692397|120399|New Canaan
10021|45 Rockaway Ave|129290.0|2012-01-03T00:00:00|[{'type': 'Point', 'coordinates': [-73.142831, 41.189109]}]|row-3frn.7qvz-tfeq|2011|||Residential||Single Family|190000.0|0.680474|110842|Stratford
10022|3 Alden Ave|392000.0|2012-01-03T00:00:00|[{'type': 'Point', 'coordinates': [-73.399102, 41.093709]}]|row-gi6j.9492-rd4s|2011|||Residential||Single Family|447000.0|0.876957|110235|Norwalk
10023|165 Glenwood Ave|149660.0|2011-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.12536, 41.210645]}]|row-cfeu-t76k-xv4x|2011|||Residential||Single Family|220000.0|0.680273|110839|Stratford
10024|40 Route 39 North|211300.0|2011-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-73.49743, 41.594604]}]|row-vn6s~ehqw-n5mg|2011|07 - Change In Property||Residential||Single Family|339500.0|0.622386|110017|Sherman
10025|70 Stonybrook Rd|119130.0|2011-12-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.986041, 41.533931]}]|row-27dz~bnf7~v4gv|2011|||Residential||Single Family|95000.0|1.254|110280|Waterbury
10026|224 Oak Ave|78220.0|2013-05-06T00:00:00||row-avgx~ysw7.jdxm|2012|25 - Other||Residential|Purchaser is known flipper|Two Family|82000.0|0.953902|120300|Torrington
10027|31 Dorwin Hill Rd|210140.0|2013-05-06T00:00:00||row-x2fg~p8d5~s5iv|2012|||Residential||Single Family|291000.0|0.722131|120205|New Milford
10028|8 Skunk Misery Rd|201560.0|2013-05-06T00:00:00||row-hucd.rx9r-s634|2012|||Residential||Single Family|249900.0|0.806563|120054|Haddam
10029|150 Naubuc Ave|182300.0|2011-11-21T00:00:00|[{'type': 'Point', 'coordinates': [-72.6186, 41.715298]}]|row-kni4~gmiv-9kkt|2011|||Residential||Single Family|215000.0|0.847907|11071|Glastonbury
10030|36-42 River Street|120270.0|2011-11-21T00:00:00|[{'type': 'Point', 'coordinates': [-73.187284, 41.194597]}]|row-q9t3-au46-yav5|2011|||Industrial|||260000.0|0.462577|110202|Bridgeport
10031|112 Fairfield Street|67060.0|2011-11-17T00:00:00|[{'type': 'Point', 'coordinates': [-72.97245, 41.329089]}]|row-7iqk~hg5s-f9sf|2011|25 - Other||Residential|Below market|Two Family|71000.0|0.944507|110100|New Haven
10032|164 Maple St|160720.0|2011-11-17T00:00:00|[{'type': 'Point', 'coordinates': [-72.776377, 41.660166]}]|row-mhkx-7m77-fsp5|2011|14 - Foreclosure||Residential||Three Family|109000.0|1.474495|110077|New Britain
10033|304B South Trail|134680.0|2013-06-18T00:00:00|[{'type': 'Point', 'coordinates': [-73.115923, 41.246354]}]|row-jtbf-jqx6-mypr|2012|25 - Other||Residential|Liquidated|Condo|132500.0|1.016453|121910|Stratford
10034|64 Pollys Ln|119300.0|2013-06-18T00:00:00||row-4gdf-8u8q~6ru9|2012|25 - Other||Residential|Tax liens|Single Family|110000.0|1.084545|12149|Montville
10035|460 Heritage Rd U 102|252290.0|2011-11-22T00:00:00|[{'type': 'Point', 'coordinates': [-73.224813, 41.488503]}]|row-zf3z.fm4q.pi2j|2011|||Residential||Condo|310000.0|0.813839|11040|Southbury
10036|69 Riverside Ave|116740.0|2011-11-22T00:00:00||row-346t-9nbs~xudn|2011|25 - Other||Residential|Sold below assessed|Single Family|70000.0|1.667714|110049|Torrington
10037|64 Raymond Street|460670.0|2013-09-12T00:00:00|[{'type': 'Point', 'coordinates': [-73.448694, 41.076262]}]|row-npi7-92xt~sjtr|2012|||Residential||Single Family|500000.0|0.92134|12374|Darien
10038|39 Hellstrom Rd|183230.0|2013-09-12T00:00:00|[{'type': 'Point', 'coordinates': [-72.846109, 41.30586]}]|row-ue2i-pkgn~kb6f|2012|||Residential||Single Family|254900.0|0.718831|1200328|East Haven
10039|170 Rising Trail Dr|106220.0|2013-06-03T00:00:00|[{'type': 'Point', 'coordinates': [-72.700596, 41.595699]}]|row-yqtt~afqq-rcqb|2012|||Residential||Single Family|109000.0|0.974495|120346|Middletown
10040|5 Balsam Circle|428400.0|2013-06-03T00:00:00|[{'type': 'Point', 'coordinates': [-73.131681, 41.290249]}]|row-49uu~qbie-q4qg|2012|||Residential||Single Family|630000.0|0.68|120378|Shelton
10041|18 Garfield Rd|215320.0|2013-08-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.759623, 41.755918]}]|row-ne3s~59hz.zcuc|2012|||Residential||Single Family|340000.0|0.633294|120842|West Hartford
10042|25 Winthrop Road|301120.0|2013-08-19T00:00:00||row-kai3.mqdw-q4n3|2012|14 - Foreclosure||Residential||Single Family|330000.0|0.912485|12060|Chester
10043|938 Hill St|481680.0|2013-09-11T00:00:00|[{'type': 'Point', 'coordinates': [-72.676927, 42.005415]}]|row-c9hz~r4mp-y7yn|2012|25 - Other||Residential|Not arm's length|Single Family|500000.0|0.96336|120190|Suffield
10044|183 Laurel Hill Rd|117800.0|2013-09-11T00:00:00|[{'type': 'Point', 'coordinates': [-71.978032, 41.794353]}]|row-y5bu-j3zt.j7tx|2012|14 - Foreclosure||Residential||Single Family|102295.0|1.151571|12102|Brooklyn
10045|2 Autumn Dr|553600.0|2013-07-26T00:00:00||row-s9br~5u6w.r85f|2012|||Residential||Single Family|634000.0|0.873186|120058|Sherman
