|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
570000|47 Willowbrook Rd|254940.0|2013-09-05T00:00:00||row-wuc9-3u6y-4umx|2012|||Residential||Single Family|307000.0|0.830423|12188|Mansfield
570001|1 Old Park Ln Condo|135590.0|2013-09-05T00:00:00|[{'type': 'Point', 'coordinates': [-73.40688, 41.600465]}]|row-ntud-ybcp-eq2y|2012|16 - Charitable Group||Commercial|||185000.0|0.732919|120368|New Milford
570002|32 Crouch Ave|4600.0|2013-09-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.072636, 41.507394]}]|row-768t-4czv-spte|2012|25 - Other||Vacant Land|Land was classified as pa 490||5535.0|0.831075|120489|Norwich
570003|14 Marshall Pl|106750.0|2013-09-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.113281, 41.354648]}]|row-q67z-d6z7.evrw|2012|||Residential||Single Family|135000.0|0.790741|120268|New London
570004|655-151 Talcottville Rd|50950.0|2013-09-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.484635, 41.859188]}]|row-chpp~wdts~8wre|2012|||Residential|Condo assmnt  44650   garage assmnt  6300|Condo|65600.0|0.776677|120376|Vernon
570005|16 Apple La|297160.0|2013-09-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.697012, 41.589892]}]|row-zv9x.kztd~5vq6|2012|||Residential||Single Family|382000.0|0.777906|120516|Middletown
570006|186 North Plains Ind Rd|87900.0|2013-09-11T00:00:00|[{'type': 'Point', 'coordinates': [-72.810524, 41.46448]}]|row-h4g9~9mm3.rgg5|2012|||Industrial|||150000.0|0.586|120556|Wallingford
570007|8 Crossland Pl|399000.0|2013-09-11T00:00:00|[{'type': 'Point', 'coordinates': [-73.382486, 41.119447]}]|row-dj3e-rax3-f3di|2012|||Residential||Single Family|551500.0|0.723481|121134|Norwalk
570008|75 Rowayton Woods Dr|243810.0|2013-09-11T00:00:00|[{'type': 'Point', 'coordinates': [-73.435599, 41.08193]}]|row-caii-hf3t-xrjw|2012|||Residential||Condo|365000.0|0.667973|121137|Norwalk
570009|56 Burlington Ave|167790.0|2013-09-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.923364, 41.807142]}]|row-4ufc-k2cg.zsfj|2012|06 - Portion Of Property||Residential|Two parcels sold one sale 410,000  56 & 60 burlington ave|Two Family|410000.0|0.409244|120151|Burlington
570010|159-161 Barker St|45319.0|2013-09-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.680205, 41.742846]}]|row-ues7.fzsr.c5wx|2012|||Residential||Three Family|172000.0|0.263483|12661|Hartford
570011|207 Brentwood Dr|112000.0|2013-09-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.849637, 41.446127]}]|row-mzvt.87xx~s8dv|2012|||Residential||Condo|165000.0|0.678788|120605|Wallingford
570012|291 Plains Rd|53500.0|2013-09-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.275198, 41.747852]}]|row-9vy8-h5gz~tcgw|2012|||Vacant Land|||48000.0|1.114583|120198|Coventry
570013|20 Willow Rd|146000.0|2013-09-30T00:00:00|[{'type': 'Point', 'coordinates': [-72.514469, 41.293161]}]|row-hvcb.p8rv-b9h6|2012|||Residential||Single Family|215000.0|0.67907|120210|Clinton
570014|265 Chesterfield Rd|159670.0|2013-09-10T00:00:00|[{'type': 'Point', 'coordinates': [-72.22415, 41.400104]}]|row-dw2x~iqsm-fzba|2012|01 - Family||Residential|Family|Single Family|250000.0|0.63868|120332|East Lyme
570015|30 Lark Lane|238280.0|2013-09-10T00:00:00|[{'type': 'Point', 'coordinates': [-73.159223, 41.306487]}]|row-wgzx-vid7.jcvb|2012|||Residential||Single Family|365000.0|0.652822|120557|Shelton
570016|9 Surf Club Road|495800.0|2013-09-10T00:00:00|[{'type': 'Point', 'coordinates': [-72.608784, 41.272633]}]|row-wm32-w4ab-9d75|2012|||Residential||Single Family|525000.0|0.944381|12342|Madison
570017|31 Laurel View|34000.0|2013-09-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.80443, 41.434101]}]|row-98gq~hyya-7iix|2012|||Residential|Mobile home|Single Family|54900.0|0.619308|120563|Wallingford
570018|127 New Road|226790.0|2013-09-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.921699, 41.798856]}]|row-utbh-sv65-nbkb|2012|08 - Part Interest||Residential||Single Family|75000.0|3.023867|120399|Avon
570019|117 Laurel Ct|105700.0|2013-09-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.859014, 41.663591]}]|row-6hcp.v9ii.raqd|2012|||Residential||Single Family|168000.0|0.629167|12241|Plainville
