|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
550000|21 Prospect St C103|126140.0|2012-04-24T00:00:00||row-jzxi~73pg-c4c2|2011|14 - Foreclosure||Residential||Condo|122500.0|1.029714|110437|Norwalk
550001|54 Mallard Dr|128230.0|2012-04-24T00:00:00||row-pr54.8xn9-s49h|2011|||Residential||Condo|150000.0|0.854867|110213|Farmington
550002|283 No Shore Rd|65870.0|2012-04-24T00:00:00|[{'type': 'Point', 'coordinates': [-71.909295, 41.85281]}]|row-qyga-dnr3-4dp7|2011|25 - Other||Residential|Sale includes leasehold interest not assessed with structure|Single Family|94000.0|0.700745|110113|Killingly
550003|2 Chesebro La|427400.0|2012-04-25T00:00:00||row-gcw2.c72v-aixx|2011|14 - Foreclosure||Residential||Single Family|417000.0|1.02494|110129|Stonington
550004|37 Richmond Drive|773360.0|2012-04-25T00:00:00|[{'type': 'Point', 'coordinates': [-73.458071, 41.089496]}]|row-wnkx-mgx9-bf4e|2011|||Residential||Single Family|860000.0|0.899256|11116|Darien
550005|85 Highview Drive|205450.0|2012-05-10T00:00:00|[{'type': 'Point', 'coordinates': [-72.650097, 41.644096]}]|row-zbhy-djbk-r3rj|2011|||Residential||Single Family|275000.0|0.747091|110148|Rocky Hill
550006|274 Lakeside Dr|151940.0|2012-05-10T00:00:00|[{'type': 'Point', 'coordinates': [-72.22846, 41.549227]}]|row-sq9c~vuyy~mvy5|2011|||Residential||Single Family|275000.0|0.552509|110042|Lebanon
550007|160 Stonefield Dr #22|112770.0|2012-04-19T00:00:00||row-qdyp~s68x-5tvd|2011|14 - Foreclosure||Residential||Condo|66500.0|1.695789|110664|Waterbury
550008|66 Mariomi Road|569380.0|2012-04-19T00:00:00|[{'type': 'Point', 'coordinates': [-73.476394, 41.174354]}]|row-jr8i~sx7p~krgu|2011|08 - Part Interest||Residential|Sale of an undivided or part interest in real property|Single Family|342500.0|1.662423|110121|New Canaan
550009|75-77 East Avenue|151330.0|2012-05-02T00:00:00||row-cbwy.rdhm-8ci5|2011|25 - Other||Residential|Distress sale|Three Family|80000.0|1.891625|110831|Bridgeport
