|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
510000|7 Megans Court|464840.0|2009-11-24T00:00:00||row-hkkd-nrb8.isqf|2009|||Residential||Condo|640000.0|0.726313|90200|Stamford
510001|293-295 Westland St|51390.0|2009-11-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.685262, 41.792223]}]|row-ii54-m5ux.b66u|2009|25 - Other||Residential|Foreclosure related sale|Three Family|60000.0|0.8565|90066|Hartford
510002|23 Cornwall Drive|120000.0|2009-11-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.658623, 41.920911]}]|row-ab2d~fp4n.vhe8|2009|||Residential||Single Family|180000.0|0.666667|90029|Windsor Locks
510003|748 Boston Neck Rd|248290.0|2009-11-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.63541, 41.961212]}]|row-qz77-h674~9k32|2009|||Residential||Single Family|330000.0|0.752394|90026|Suffield
510004|249 Timber Trail|214780.0|2009-11-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.585261, 41.732477]}]|row-5cth-5red-pd6i|2009|||Residential||Single Family|284500.0|0.754938|900108|East Hartford
510005|Moses Meade Rd|52460.0|2009-11-09T00:00:00||row-kns3-skt7~6myy|2009|06 - Portion Of Property||Vacant Land|||140000.0|0.374714|900010|North Canaan
510006|119 Stanavage Rd|265900.0|2009-11-09T00:00:00|[{'type': 'Point', 'coordinates': [-72.260277, 41.549907]}]|row-pyyu-zuqb~y7eu|2009|||Residential||Single Family|395000.0|0.673165|90031|Colchester
510007|17 Meadowcroft Lane, Grw,Ct 06|6612760.0|2009-11-17T00:00:00||row-3zgu-hmtd.5ut9|2009|||Residential|11-1031|Single Family|8700000.0|0.760087|90086|Greenwich
510008|43 Rockland Ave|95630.0|2009-11-17T00:00:00|[{'type': 'Point', 'coordinates': [-73.049037, 41.531228]}]|row-552v~tang-dwc4|2009|25 - Other||Residential|Short sale|Single Family|115000.0|0.831565|90181|Waterbury
510009|22 Keefe La|152730.0|2009-11-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.677859, 41.551329]}]|row-a72y~3xze-j8zf|2009|||Residential||Single Family|219000.0|0.697397|90109|Middletown
510010|20 Shoddy Mill Rd|205220.0|2009-11-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.415698, 41.736346]}]|row-2q54.ihww.m3cv|2009|25 - Other||Residential|"Per mls needs work, sold ""as is"", subject to probate approval"|Single Family|175000.0|1.172686|90009|Bolton
510011|2 Terrace Pl Condo|54530.0|2009-11-20T00:00:00|[{'type': 'Point', 'coordinates': [-73.413796, 41.580208]}]|row-r5w4-8vvq-n54k|2009|||Residential||Condo|85000.0|0.641529|90068|New Milford
510012|155 Colonese Road|351050.0|2009-11-20T00:00:00|[{'type': 'Point', 'coordinates': [-73.249921, 41.211959]}]|row-mxwi-jnqe-c5dc|2009|||Residential||Single Family|362500.0|0.968414|90110|Fairfield
510013|70 Pease Avenue|363090.0|2009-11-13T00:00:00||row-bv8p-hr6z~5ndq|2009|08 - Part Interest||Residential||Single Family|48000.0|7.564375|90084|Fairfield
510014|9 Dean Road|197330.0|2009-11-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.245566, 41.357677]}]|row-v885~njt5-c7jv|2009|||Residential||Single Family|273000.0|0.722821|90035|East Lyme
510015|48 Apple Hill|155050.0|2009-11-20T00:00:00|[{'type': 'Point', 'coordinates': [-72.713929, 41.657472]}]|row-8p93-fq7r~fxwz|2009|||Residential||Condo|210000.0|0.738333|900181|Newington
510016|17 Melrose Ave|224800.0|2009-11-20T00:00:00|[{'type': 'Point', 'coordinates': [-73.217619, 41.236687]}]|row-ix7e~77q7~5e8h|2009|||Residential||Single Family|268000.0|0.838806|90036|Trumbull
510017|12 Deerwood Mnr|288960.0|2009-11-20T00:00:00|[{'type': 'Point', 'coordinates': [-73.395826, 41.139919]}]|row-8pgf.eau2.3xnm|2009|||Residential||Single Family|390000.0|0.740923|90158|Norwalk
510018|78 Sterling Rd|123740.0|2009-11-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.64225, 41.776644]}]|row-4i4a-k4rn.rged|2009|||Residential||Single Family|149000.0|0.83047|900130|East Hartford
510019|195-27 Village Square Dr|105280.0|2009-11-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.768547, 41.712632]}]|row-39k2-ty8r.veq3|2009|||Residential||Condo|125000.0|0.84224|90116|New Britain
510020|590-592 Maple Av|53960.0|2009-11-19T00:00:00|[{'type': 'Point', 'coordinates': [-72.682101, 41.744194]}]|row-yu74~hxsb.vp7f|2009|25 - Other||Residential|Below market|Two Family|185000.0|0.291676|90102|Hartford
510021|1060 Greens Loop|118300.0|2009-11-17T00:00:00|[{'type': 'Point', 'coordinates': [-72.884089, 41.517882]}]|row-npvp-g3i6-5ibb|2009|||Residential||Condo|160000.0|0.739375|90050|Cheshire
510022|46 Glen Hill Rd|581770.0|2009-11-17T00:00:00||row-st37-4dgm~xjs8|2009|||Residential||Single Family|790000.0|0.736418|90022|Wilton
510023|163 Clark Street U A|126150.0|2009-11-17T00:00:00|[{'type': 'Point', 'coordinates': [-73.072061, 41.22179]}]|row-3suh.6u4j.nu7t|2009|||Residential||Condo|190000.0|0.663947|90120|Milford
510024|1 Broad Street #8B|447060.0|2009-11-17T00:00:00|[{'type': 'Point', 'coordinates': [-73.543122, 41.055569]}]|row-346p.usbd-edmi|2009|||Residential||Condo|700000.0|0.638657|90159|Stamford
510025|10 Rachael Dr|189490.0|2009-11-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.48516, 41.575128]}]|row-efds.cx3q.vbhe|2009|03 - Inter Corporation||Vacant Land|Intercompany sale||50000.0|3.7898|90045|East Hampton
510026|27 Auburn St|132820.0|2009-11-18T00:00:00|[{'type': 'Point', 'coordinates': [-73.044107, 41.49018]}]|row-7r7y-rf5k.kiwv|2009|||Residential||Single Family|144000.0|0.922361|90067|Naugatuck
