|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
560000|42 Terrace Ave|124530.0|2012-05-25T00:00:00|[{'type': 'Point', 'coordinates': [-72.099133, 41.364912]}]|row-5ind.xeyh.q78f|2011|25 - Other||Residential|Sales ratio|Two Family|81500.0|1.527975|110178|New London
560001|270 Maple St|132500.0|2012-05-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.659535, 41.691922]}]|row-k3ys.99wt-bghw|2011|10 - A Will||Residential|Estate sale|Single Family|115000.0|1.152174|11182|Wethersfield
560002|9 Jacobs Lane|556430.0|2012-05-18T00:00:00|[{'type': 'Point', 'coordinates': [-73.278868, 41.351527]}]|row-srpw~cgnm-4huz|2011|||Residential||Single Family|595000.0|0.935176|110229|Newtown
560003|44 Attawanhood Tr|246800.0|2012-05-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.40159, 41.279683]}]|row-74ws~3idf~cs3h|2011|||Residential||Single Family|375000.0|0.658133|110128|Old Saybrook
560004|4 Cobblers Ct|285530.0|2012-05-31T00:00:00||row-xx67-e3h7-6fna|2011|||Residential||Single Family|305000.0|0.936164|110525|Norwalk
560005|32 Lewis St|110530.0|2012-05-31T00:00:00|[{'type': 'Point', 'coordinates': [-73.07141, 41.917363]}]|row-sjwr-c6wg.y6k3|2011|14 - Foreclosure||Residential|Sale of foreclosure|Two Family|61000.0|1.811967|110072|Winchester
560006|2-07 Plymouth Colony|128500.0|2012-05-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.843623, 41.266366]}]|row-7x4y.92uz-rn2f|2011|||Residential||Condo|205000.0|0.626829|110224|Branford
560007|81 North Main St U7|78000.0|2012-04-23T00:00:00|[{'type': 'Point', 'coordinates': [-73.473204, 41.729816]}]|row-xmpy-9tfx-g7dm|2011|||Residential||Condo|55000.0|1.418182|110024|Kent
560008|3 Bishop Rd|389000.0|2012-04-23T00:00:00|[{'type': 'Point', 'coordinates': [-73.168278, 41.437175]}]|row-ukuh-g3qi~dxzn|2011|||Residential||Single Family|505000.0|0.770297|110064|Oxford
560009|85 Camp Avenue # 5C|369570.0|2012-04-23T00:00:00|[{'type': 'Point', 'coordinates': [-73.516218, 41.095437]}]|row-gsg2~ndkq-m8jf|2011|||Residential||Condo|426000.0|0.867535|110608|Stamford
560010|43 Chippanee Dr|237860.0|2012-04-02T00:00:00|[{'type': 'Point', 'coordinates': [-72.986799, 41.701752]}]|row-jmp6-pyfk-bbv5|2011|||Residential||Single Family|321000.0|0.740997|110260|Bristol
